Date;Price;Open;High;Low;Vol.;Change %;;Kolumna B: symbol → wpisz HG=F we wszystkich wierszach (przeciągnij w dół)
05/30/2024;31.68;32.5;31.945;30.345;112.55K;-2.14%;;
05/29/2024;32.373;32.31;32.28;31.18;98.38K;0.73%;;
05/28/2024;32.137;30.565;32.515;31.78;87.06K;4.63%;;
05/26/2024;30.715;30.545;32.45;30.555;142.58K;0.85%;;
05/23/2024;30.455;31.015;30.835;30.235;55.07K;-3.31%;;
05/22/2024;31.496;32.225;31.185;30.265;107.27K;-1.81%;;
05/21/2024;32.078;32.055;32.44;30.965;93.21K;-1.07%;;
05/20/2024;32.426;31.85;32.72;31.28;112.62K;8.54%;;
05/16/2024;29.876;29.9;31.85;29.7;132.93K;0.49%;;
05/15/2024;29.729;28.855;30.105;29.555;91.44K;3.58%;;
05/14/2024;28.702;28.42;29.99;28.675;117.42K;0.91%;;
05/13/2024;28.443;28.42;28.985;28.31;70.50K;0.27%;;
05.09.2024;28.365;27.56;29;28.27;77.59K;2.77%;;
05.08.2024;27.601;27.475;28.58;27.515;79.43K;0.21%;;
05.07.2024;27.544;27.715;27.725;27.24;51.14K;-0.25%;;
05.06.2024;27.614;26.81;27.77;27.39;47.44K;2.93%;;
05.02.2024;26.829;26.905;27.14;26.345;65.99K;0.30%;;
05.01.2024;26.748;26.55;27.065;26.255;63.28K;0.35%;;
04/30/2024;26.654;27.455;27.25;26.52;64.62K;-3.64%;;
04/29/2024;27.66;27.5;27.455;26.515;87.80K;0.57%;;
04/25/2024;27.502;27.385;27.745;27.09;68.25K;0.02%;;
04/24/2024;27.496;27.45;27.61;27;83.80K;-0.05%;;
04/23/2024;27.511;27.42;27.525;27.06;70.17K;0.42%;;
04/22/2024;27.397;28.78;27.42;26.715;107.52K;-3.98%;;
04/18/2024;28.532;28.455;29.01;28.12;89.50K;-0.07%;;
04/17/2024;28.553;28.405;28.735;28.21;72.23K;0.09%;;
04/16/2024;28.526;29.14;28.895;28.145;102.41K;-1.18%;;
04/15/2024;28.866;28.38;29.1;28.03;107.02K;1.64%;;
04.11.2024;28.401;28.115;29.905;27.945;191.81K;0.70%;;
04.10.2024;28.204;28.46;28.6;27.84;89.11K;0.25%;;
04.09.2024;28.134;28.18;28.655;27.64;157.99K;0.64%;;
04.08.2024;27.956;27.435;28.44;27.725;125.25K;2.09%;;
04.04.2024;27.385;27.455;27.615;26.4;122.33K;0.70%;;
04.03.2024;27.195;26.46;27.455;26.785;104.38K;4.37%;;
04.02.2024;26.057;25.4;27.325;26.235;139.59K;3.39%;;
04.01.2024;25.203;25.36;26.295;25.195;133.45K;1.30%;;
03/27/2024;24.879;24.855;25.13;24.505;74.08K;1.04%;;
03/26/2024;24.623;24.845;24.79;24.445;57.54K;-1.08%;;
03/25/2024;24.891;24.85;25.055;24.515;69.88K;-0.46%;;
03/21/2024;25.007;25.79;25.11;24.58;57.39K;-0.39%;;
03/20/2024;25.104;25.09;25.975;24.82;104.11K;-0.12%;;
03/19/2024;25.135;25.25;25.835;24.93;68.27K;-0.51%;;
03/18/2024;25.265;25.4;25.36;24.92;49.79K;0.82%;;
03/14/2024;25.06;25.225;25.66;25;76.16K;-0.38%;;
03/13/2024;25.156;24.335;25.37;24.95;74.03K;3.12%;;
03.12.2024;24.394;24.675;25.25;24.275;79.33K;-1.30%;;
03.11.2024;24.715;24.58;24.9;24.22;75.85K;0.56%;;
03.07.2024;24.578;24.4;24.86;24.38;85.10K;0.35%;;
03.06.2024;24.493;23.895;24.735;24.225;85.24K;2.12%;;
03.05.2024;23.984;24.125;24.535;23.785;83.30K;-0.03%;;
03.04.2024;23.991;23.37;24.455;23.845;98.92K;4.83%;;
02/29/2024;22.885;22.675;23.485;22.71;71.03K;1.10%;;
02/28/2024;22.636;22.67;23;22.5;56.32K;-0.07%;;
02/27/2024;22.651;22.605;22.735;22.47;44.45K;0.06%;;
02/26/2024;22.638;23.03;22.71;22.405;38.67K;-1.14%;;
02/22/2024;22.899;23.035;23.03;22.58;62.49K;-0.39%;;
02/21/2024;22.989;23.255;23.2;22.76;52.30K;-1.12%;;
02/20/2024;23.25;23.53;23.22;22.79;57.99K;-0.87%;;
02/18/2024;23.453;23.473;23.51;22.955;98.23K;1.70%;;
02/15/2024;23.061;22.72;23.56;22.84;76.89K;2.52%;;
02/14/2024;22.495;22.135;23.09;22.4;96.31K;1.03%;;
02/13/2024;22.266;22.635;22.515;21.975;80.92K;-2.68%;;
02.12.2024;22.878;22.995;23.05;22.03;93.53K;0.57%;;
02.08.2024;22.749;22.405;22.795;22.42;49.62K;1.24%;;
02.07.2024;22.471;22.49;22.705;22.195;68.12K;-0.52%;;
02.06.2024;22.588;22.57;22.535;22.275;58.21K;0.24%;;
02.05.2024;22.534;22.77;22.575;22.34;43.92K;-3.48%;;
02.01.2024;23.347;23.435;23.355;22.485;90.02K;0.28%;;
01/31/2024;23.282;23.41;23.365;22.605;85.16K;-0.26%;;
01/30/2024;23.343;23.55;23.445;22.895;66.91K;0.40%;;
01/29/2024;23.251;22.92;23.43;23.055;53.37K;1.41%;;
01/25/2024;22.927;22.8;23.1;22.81;44.28K;0.17%;;
01/24/2024;22.889;22.57;23.155;22.765;57.18K;1.90%;;
01/23/2024;22.462;22.2;23.09;22.465;77.93K;0.74%;;
01/22/2024;22.296;22.745;22.58;22.165;49.42K;-2.24%;;
01/18/2024;22.807;22.715;22.98;22.595;41.45K;0.61%;;
01/17/2024;22.669;23.095;22.9;22.52;46.15K;-1.84%;;
01/16/2024;23.093;23.35;23.11;22.66;52.25K;-0.99%;;
01/14/2024;23.323;23.35;23.5;23.015;61.42K;2.72%;;
01.11.2024;22.705;23.085;23.72;22.915;72.37K;-1.57%;;
01.10.2024;23.066;23.16;23.4;22.63;81.74K;-0.11%;;
01.09.2024;23.091;23.315;23.29;22.935;44.06K;-0.94%;;
01.08.2024;23.31;23.38;23.565;23.08;42.90K;0.53%;;
01.04.2024;23.187;23.19;23.715;22.97;62.46K;0.13%;;
01.03.2024;23.157;23.885;23.26;22.88;52.98K;-3.32%;;
01.02.2024;23.953;24.045;23.95;23.045;86.46K;-0.40%;;
01.01.2024;24.05;24.027;24.335;23.875;47.42K;-1.32%;;
12/28/2023;24.372;24.55;24.235;23.76;46.55K;-0.63%;;
12/27/2023;24.526;24.38;24.74;24.185;35.69K;0.99%;;
12/26/2023;24.285;24.38;24.73;24.22;43.84K;-0.92%;;
12/25/2023;24.51;24.475;24.7;24.34;27.81K;0.17%;;
12/21/2023;24.468;24.42;24.895;24.37;48.68K;-0.20%;;
12/20/2023;24.516;24.285;24.79;24.43;46.76K;1.28%;;
12/19/2023;24.206;24.025;24.75;24.245;46.98K;0.88%;;
12/18/2023;23.994;23.98;24.475;24.04;37.54K;-1.15%;;
12/14/2023;24.273;23.98;24.59;24.05;57.00K;6.39%;;
12/13/2023;22.815;22.85;24.525;24.06;97.58K;-0.40%;;
12.12.2023;22.906;23.02;24.125;22.785;81.89K;-0.20%;;
12.11.2023;22.953;23.225;23.45;22.975;55.16K;-4.13%;;
12.07.2023;23.942;24.125;24.225;23.245;87.08K;-0.71%;;
12.06.2023;24.112;24.475;24.35;23.905;57.75K;-1.30%;;
12.05.2023;24.43;24.78;24.715;24.21;59.37K;-1.44%;;
12.04.2023;24.786;26.05;25.02;24.32;76.73K;-2.96%;;
11/30/2023;25.541;25.375;25.94;25.48;70.00K;0.79%;;
11/29/2023;25.342;25.43;25.7;25.325;51.62K;1.10%;;
11/28/2023;25.066;24.815;25.68;25.245;67.40K;1.06%;;
11/27/2023;24.803;24.51;25.065;24.585;59.63K;4.18%;;
11/22/2023;23.808;23.96;24.395;23.61;66.33K;-0.75%;;
11/21/2023;23.989;23.695;24.005;23.58;54.28K;1.08%;;
11/20/2023;23.732;23.835;24.08;23.47;65.70K;-1.33%;;
11/16/2023;24.053;23.665;24.22;23.73;54.40K;1.67%;;
11/15/2023;23.659;23.27;24.165;23.35;83.27K;1.76%;;
11/14/2023;23.249;22.53;23.71;23.095;72.28K;3.43%;;
11/13/2023;22.477;22.5;23.255;22.15;76.30K;-2.37%;;
11.09.2023;23.023;22.61;22.8;22.23;63.95K;0.77%;;
11.08.2023;22.846;22.72;23.07;22.415;74.59K;0.60%;;
11.07.2023;22.709;23.245;22.935;22.375;66.63K;-2.77%;;
11.06.2023;23.355;23.395;23.17;22.505;79.03K;1.67%;;
11.02.2023;22.971;23.235;23.415;22.675;76.96K;0.26%;;
11.01.2023;22.912;22.97;23.24;22.755;45.12K;-0.71%;;
10/31/2023;23.075;23.555;23.13;22.645;54.80K;-1.89%;;
10/30/2023;23.519;23.325;23.465;22.84;54.68K;2.67%;;
10/26/2023;22.908;23.005;23.255;22.775;46.57K;-0.43%;;
10/25/2023;23.007;23.06;23.275;22.565;59.31K;-0.47%;;
10/24/2023;23.116;23.095;23.16;22.69;55.00K;-0.40%;;
10/23/2023;23.21;23.505;23.35;22.805;48.11K;0.78%;;
10/19/2023;23.031;23.015;23.88;23.015;82.80K;-0.29%;;
10/18/2023;23.099;22.975;23.23;22.785;58.63K;0.33%;;
10/17/2023;23.024;22.78;23.49;22.84;66.39K;1.14%;;
10/16/2023;22.765;22.91;23.18;22.535;48.47K;3.67%;;
10.12.2023;21.959;22.205;22.99;21.96;76.26K;-0.79%;;
10.11.2023;22.133;22.015;22.39;21.88;51.30K;0.82%;;
10.10.2023;21.953;22.03;22.275;21.955;45.00K;0.13%;;
10.09.2023;21.924;21.94;22.11;21.775;43.79K;4.31%;;
10.05.2023;21.019;21.18;21.78;20.94;84.53K;-0.60%;;
10.04.2023;21.146;21.375;21.455;20.855;57.84K;-1.08%;;
10.03.2023;21.377;21.31;21.57;20.85;68.61K;-0.21%;;
10.02.2023;21.421;22.41;21.595;20.87;82.34K;-5.80%;;
09/28/2023;22.741;22.8;23.805;22.325;112.99K;0.58%;;
09/27/2023;22.609;22.94;22.955;22.61;67.24K;-2.07%;;
09/26/2023;23.086;23.17;23.12;22.64;66.47K;-0.82%;;
09/25/2023;23.277;23.695;23.39;23.1;52.63K;-1.29%;;
09/21/2023;23.582;23.335;24.05;23.665;53.72K;-0.62%;;
09/20/2023;23.728;23.225;23.745;23.06;73.84K;1.61%;;
09/19/2023;23.351;23.49;23.88;23.325;57.73K;-0.21%;;
09/18/2023;23.399;23.22;23.705;23.365;40.41K;2.17%;;
09/14/2023;22.902;22.985;23.585;22.91;67.11K;-0.77%;;
09/13/2023;23.08;23.295;23.265;22.555;84.60K;-0.95%;;
09.12.2023;23.301;23.345;23.39;23.025;49.96K;0.08%;;
09.11.2023;23.282;23.28;23.48;23.11;40.98K;0.64%;;
09.07.2023;23.134;23.2;23.455;23.13;52.75K;-1.12%;;
09.06.2023;23.397;23.71;23.5;23.13;50.65K;-1.54%;;
09.05.2023;23.762;24.255;23.935;23.315;67.14K;-3.14%;;
09.03.2023;24.532;24.54;24.655;23.815;91.77K;-0.65%;;
08/31/2023;24.692;25.02;25.22;24.52;61.53K;-1.15%;;
08/30/2023;24.978;25.135;25.06;24.745;47.18K;0.31%;;
08/29/2023;24.901;24.385;25.425;24.92;67.03K;2.18%;;
08/28/2023;24.369;24.41;24.845;24.205;52.92K;0.11%;;
08/24/2023;24.343;24.415;24.44;23.97;56.33K;-0.62%;;
08/23/2023;24.495;23.6;24.42;24.115;68.76K;4.00%;;
08/22/2023;23.553;23.47;24.43;23.475;89.90K;0.47%;;
08/21/2023;23.443;22.84;23.515;23.265;53.82K;2.73%;;
08/17/2023;22.821;22.735;22.92;22.67;54.78K;0.81%;;
08/16/2023;22.637;22.795;23.07;22.39;66.43K;-0.54%;;
08/15/2023;22.759;22.885;22.855;22.445;46.54K;-0.24%;;
08/14/2023;22.813;22.725;22.77;22.265;61.48K;-0.51%;;
08.10.2023;22.929;22.835;22.91;22.61;52.69K;0.39%;;
08.09.2023;22.841;23.015;23.06;22.665;75.61K;-0.35%;;
08.08.2023;22.922;23.33;22.99;22.68;69.55K;-1.84%;;
08.07.2023;23.352;23.76;23.255;22.72;82.66K;-1.95%;;
08.03.2023;23.816;23.725;23.895;23.275;58.39K;-0.73%;;
08.02.2023;23.991;24.645;23.94;23.41;63.14K;-1.86%;;
08.01.2023;24.445;24.54;24.63;23.76;73.95K;-2.58%;;
07/31/2023;25.092;24.585;24.905;24.255;52.95K;2.98%;;
07/27/2023;24.367;25.075;24.545;24.24;38.73K;-2.41%;;
07/26/2023;24.97;24.87;25.325;24.18;83.21K;0.59%;;
07/25/2023;24.824;24.525;25.21;24.675;56.99K;0.99%;;
07/24/2023;24.581;24.79;24.91;24.45;49.47K;-1.53%;;
07/20/2023;24.962;25.345;25.11;24.765;36.91K;-1.67%;;
07/19/2023;25.387;25.275;25.475;24.895;59.02K;0.52%;;
07/18/2023;25.256;25.06;25.46;25.145;43.19K;0.95%;;
07/17/2023;25.018;25.155;25.405;24.975;60.83K;0.28%;;
07/13/2023;24.949;24.33;25.255;24.91;73.14K;2.63%;;
07.12.2023;24.31;23.325;25.11;24.31;90.28K;4.42%;;
07.11.2023;23.281;23.335;24.375;23.31;82.58K;-0.27%;;
07.10.2023;23.345;23.34;23.595;23.22;34.71K;1.99%;;
07.06.2023;22.89;23.355;23.365;22.8;48.81K;-2.19%;;
07.05.2023;23.402;23.12;23.47;22.72;61.14K;1.25%;;
07.03.2023;23.112;22.995;23.535;22.97;81.91K;1.38%;;
06/29/2023;22.798;22.94;23.05;22.54;44.56K;-0.80%;;
06/28/2023;22.981;22.965;23.11;22.485;55.88K;-0.30%;;
06/27/2023;23.049;22.89;22.995;22.6;34.71K;0.55%;;
06/26/2023;22.923;22.55;23.15;22.785;48.75K;1.58%;;
06/22/2023;22.567;22.77;22.71;22.14;53.21K;-1.50%;;
06/21/2023;22.911;23.33;22.75;22.2;57.67K;-1.81%;;
06/20/2023;23.334;24.27;23.23;22.515;78.46K;-3.57%;;
06/18/2023;24.198;24.235;24.26;23.1;110.46K;0.64%;;
06/15/2023;24.044;24.055;24.29;23.91;62.35K;-0.69%;;
06/14/2023;24.212;23.965;24.01;23.27;90.80K;1.18%;;
06/13/2023;23.929;24.33;24.175;23.715;61.20K;-0.98%;;
06.12.2023;24.165;24.29;24.52;23.665;73.64K;-1.19%;;
06.08.2023;24.455;23.63;24.62;24.28;63.77K;3.46%;;
06.07.2023;23.638;23.64;24.46;23.51;84.07K;-0.59%;;
06.06.2023;23.779;23.69;24.165;23.48;73.33K;0.15%;;
06.05.2023;23.743;23.87;23.87;23.41;44.28K;-1.46%;;
06.01.2023;24.096;23.83;24.12;23.66;62.06K;1.69%;;
05/31/2023;23.696;23.475;24.03;23.355;76.91K;1.47%;;
05/30/2023;23.353;23.62;23.735;23.16;76.73K;-0.26%;;
05/28/2023;23.413;23.43;23.51;23.03;79.06K;2.20%;;
05/25/2023;22.91;23.185;23.46;22.785;59.82K;-1.42%;;
05/24/2023;23.24;23.59;23.26;22.8;63.12K;-1.63%;;
05/23/2023;23.624;23.8;23.655;23.14;52.10K;-0.99%;;
05/22/2023;23.861;24.02;23.81;23.235;61.00K;0.96%;;
05/18/2023;23.633;23.94;24.185;23.555;56.31K;-1.10%;;
05/17/2023;23.897;23.915;23.96;23.485;46.40K;0.02%;;
05/16/2023;23.893;24.265;24.06;23.715;49.65K;-1.64%;;
05/15/2023;24.291;24.1;24.275;23.805;63.67K;-0.54%;;
05.11.2023;24.424;25.545;24.405;23.91;72.51K;-4.81%;;
05.10.2023;25.658;25.84;25.7;24.325;107.00K;-0.93%;;
05.09.2023;25.898;25.79;26.2;25.455;77.95K;0.25%;;
05.08.2023;25.834;25.945;25.93;25.57;45.73K;-1.50%;;
05.04.2023;26.227;25.91;26.435;25.41;68.60K;2.13%;;
05.03.2023;25.681;25.65;26.36;25.7;73.18K;0.24%;;
05.02.2023;25.619;25.245;25.91;25.355;52.18K;1.54%;;
05.01.2023;25.23;25.46;25.765;24.82;62.31K;0.08%;;
04/27/2023;25.209;25.17;25.35;24.98;44.91K;0.95%;;
04/26/2023;24.972;25.135;25.41;24.745;70.92K;-0.02%;;
04/25/2023;24.978;25.33;25.325;24.815;64.25K;-1.70%;;
04/24/2023;25.411;25.28;25.435;24.53;73.90K;-0.26%;;
04/20/2023;25.478;25.475;25.475;24.985;61.58K;0.03%;;
04/19/2023;25.471;25.15;25.585;25.155;64.38K;0.41%;;
04/18/2023;25.368;25.21;25.46;24.715;74.68K;0.68%;;
04/17/2023;25.197;25.47;25.43;25.03;48.69K;-3.22%;;
04/13/2023;26.035;25.715;26.235;25.265;94.54K;1.85%;;
04.12.2023;25.563;25.515;26.115;25.515;75.42K;1.06%;;
04.11.2023;25.296;25.195;25.825;25.175;89.02K;1.10%;;
04.10.2023;25.02;25.1;25.275;24.97;54.83K;-0.49%;;
04.05.2023;25.143;25.235;25.175;24.695;49.82K;-0.23%;;
04.04.2023;25.201;24.105;25.295;24.785;66.17K;4.49%;;
04.03.2023;24.118;24.05;25.195;23.97;80.73K;0.17%;;
03/30/2023;24.076;23.63;24.31;23.83;59.67K;2.60%;;
03/29/2023;23.466;23.47;24.1;23.37;67.10K;0.20%;;
03/28/2023;23.42;23.21;23.555;23.205;42.58K;1.19%;;
03/27/2023;23.145;23.485;23.515;22.96;42.18K;-0.48%;;
03/23/2023;23.256;23.1;23.705;23.125;65.53K;2.06%;;
03/22/2023;22.786;22.51;23.36;22.9;60.54K;1.61%;;
03/21/2023;22.425;22.665;23.24;22.41;56.69K;-0.98%;;
03/20/2023;22.646;22.71;22.785;22.29;45.06K;4.40%;;
03/16/2023;21.692;21.925;22.765;21.785;68.62K;-0.87%;;
03/15/2023;21.882;21.795;22.21;21.59;56.94K;-0.72%;;
03/14/2023;22.04;21.92;22.525;21.605;89.43K;0.53%;;
03/13/2023;21.923;20.72;22.09;21.465;75.57K;8.72%;;
03.09.2023;20.165;20.125;20.875;19.945;73.69K;0.07%;;
03.08.2023;20.151;20.165;20.355;20.025;47.40K;-0.24%;;
03.07.2023;20.199;21.14;20.29;19.955;60.89K;-4.43%;;
03.06.2023;21.135;21.385;21.215;20.105;69.32K;1.12%;;
03.02.2023;20.901;21.085;21.385;20.91;53.40K;-0.92%;;
03.01.2023;21.095;21.03;21.1;20.76;45.16K;0.11%;;
02/28/2023;21.071;20.74;21.285;20.945;57.92K;1.34%;;
02/27/2023;20.793;20.915;21.125;20.505;61.59K;-2.73%;;
02/23/2023;21.376;21.61;21.395;20.725;53.88K;-1.71%;;
02/22/2023;21.748;21.97;21.67;21.26;52.99K;-1.01%;;
02/21/2023;21.97;21.77;22;21.435;50.98K;1.72%;;
02/19/2023;21.598;21.753;21.995;21.555;86.91K;-0.97%;;
02/16/2023;21.81;21.84;21.8;21.155;67.93K;0.70%;;
02/15/2023;21.659;21.8;21.79;21.4;56.29K;-1.38%;;
02/14/2023;21.961;21.845;21.875;21.385;55.51K;0.09%;;
02/13/2023;21.942;22.02;22.04;21.585;73.82K;-1.34%;;
02.09.2023;22.241;22.545;22.31;21.83;68.26K;-1.24%;;
02.08.2023;22.52;22.42;22.615;21.915;67.99K;1.09%;;
02.07.2023;22.277;22.415;22.56;22.205;56.97K;-0.27%;;
02.06.2023;22.337;22.655;22.485;22.065;72.08K;-5.81%;;
02.02.2023;23.715;24.45;23.665;22.325;111.87K;0.05%;;
02.01.2023;23.703;24.01;24.75;23.495;110.84K;-0.95%;;
01/31/2023;23.93;23.86;24.15;23.44;65.33K;0.46%;;
01/30/2023;23.821;23.905;23.865;23.05;66.63K;-0.83%;;
01/26/2023;24.02;24.055;24.12;23.39;65.13K;0.33%;;
01/25/2023;23.941;23.765;24.415;23.69;85.57K;0.81%;;
01/24/2023;23.749;23.565;24.065;23.44;56.58K;0.83%;;
01/23/2023;23.554;24.055;23.855;23.31;51.75K;-1.32%;;
01/19/2023;23.87;23.595;24.225;23.83;56.90K;0.94%;;
01/18/2023;23.647;24.09;24.075;23.27;66.63K;-1.75%;;
01/17/2023;24.068;24.45;24.5;23.55;82.10K;-1.42%;;
01/15/2023;24.415;24.422;24.67;23.975;86.02K;1.71%;;
01.12.2023;24.004;23.53;24.445;23.62;59.83K;2.23%;;
01.11.2023;23.481;23.72;24.33;23.5;73.11K;-0.78%;;
01.10.2023;23.665;23.775;24.19;23.34;57.03K;-0.86%;;
01.09.2023;23.871;24.025;23.905;23.55;42.92K;1.91%;;
01.05.2023;23.424;23.94;24.055;23.345;55.42K;-2.25%;;
01.04.2023;23.964;24.175;24.06;23.26;60.08K;-1.12%;;
01.03.2023;24.236;24.305;24.64;23.745;62.31K;-0.38%;;
01.02.2023;24.328;24.177;24.775;24.095;69.96K;0.32%;;
12/29/2022;24.25;23.725;24.36;23.705;40.89K;2.08%;;
12/28/2022;23.756;24.115;24.28;23.69;36.90K;-1.60%;;
12/27/2022;24.142;23.935;24.275;23.645;34.29K;0.36%;;
12/26/2022;24.055;24.008;24.495;23.975;45.23K;2.10%;;
12/22/2022;23.561;24.085;24.095;23.685;31.56K;-2.32%;;
12/21/2022;24.121;24.305;24.315;23.55;46.20K;-0.26%;;
12/20/2022;24.183;23.095;24.525;24.055;36.77K;4.61%;;
12/19/2022;23.117;23.305;24.49;23.05;72.52K;-0.48%;;
12/15/2022;23.229;24.075;23.445;22.735;51.26K;-3.41%;;
12/14/2022;24.049;23.865;24.18;23.155;61.90K;0.59%;;
12/13/2022;23.909;23.565;24.275;23.605;51.52K;2.55%;;
12.12.2022;23.314;23.435;24.39;23.49;74.31K;0.68%;;
12.08.2022;23.157;22.715;23.9;23.14;53.44K;1.40%;;
12.07.2022;22.837;22.4;23.425;22.725;44.88K;2.61%;;
12.06.2022;22.256;22.435;23.01;22.255;51.54K;-0.30%;;
12.05.2022;22.324;23.31;22.78;22.19;49.86K;-2.03%;;
12.01.2022;22.786;22.68;23.475;22.48;74.94K;4.87%;;
11/30/2022;21.727;21.755;23.005;22.24;73.64K;1.57%;;
11/29/2022;21.392;21.13;22.41;21.355;63.51K;1.86%;;
11/28/2022;21.002;21.52;21.635;21.06;46.73K;-2.02%;;
11/23/2022;21.436;21.17;21.73;21.175;53.89K;1.45%;;
11/22/2022;21.13;20.975;21.63;20.925;50.25K;0.85%;;
11/21/2022;20.952;21.11;21.37;20.86;56.89K;-0.48%;;
11/17/2022;21.054;21.605;21.325;20.87;45.48K;-2.55%;;
11/16/2022;21.604;21.725;21.535;20.785;68.30K;0.05%;;
11/15/2022;21.593;22.09;22.155;21.455;71.72K;-2.64%;;
11/14/2022;22.178;21.735;22.38;21.45;94.52K;1.86%;;
11.10.2022;21.772;21.28;22.16;21.355;77.86K;1.83%;;
11.09.2022;21.381;21.495;21.94;21.045;92.92K;-0.86%;;
11.08.2022;21.567;20.9;21.695;21.055;80.56K;2.79%;;
11.07.2022;20.981;20.65;21.72;20.57;95.95K;7.68%;;
11.03.2022;19.485;19.455;20.965;19.425;112.10K;-0.86%;;
11.02.2022;19.654;19.675;19.555;18.805;71.23K;-0.38%;;
11.01.2022;19.728;19.16;20.11;19.2;63.23K;2.84%;;
10/31/2022;19.184;19.01;20.04;19.085;79.39K;-1.59%;;
10/27/2022;19.494;19.555;19.62;18.95;51.84K;0.04%;;
10/26/2022;19.486;19.325;19.66;19.255;58.01K;0.71%;;
10/25/2022;19.349;19.195;19.765;19.18;55.63K;0.83%;;
10/24/2022;19.189;19.395;19.41;18.74;54.44K;2.68%;;
10/20/2022;18.689;18.405;19.405;18.205;85.07K;1.80%;;
10/19/2022;18.359;18.685;18.96;18.15;57.78K;-1.30%;;
10/18/2022;18.6;18.625;18.755;18.305;36.44K;-0.64%;;
10/17/2022;18.719;18.16;18.865;18.49;39.82K;-1.05%;;
10/13/2022;18.918;19.01;19.055;18.01;69.61K;-0.11%;;
10.12.2022;18.938;19.175;19.29;18.41;73.30K;-2.82%;;
10.11.2022;19.487;19.63;19.31;18.84;57.22K;-0.65%;;
10.10.2022;19.615;20.185;19.725;19.05;60.40K;-5.06%;;
10.06.2022;20.66;20.75;20.875;20.02;60.63K;0.56%;;
10.05.2022;20.544;21.12;20.93;20.4;49.26K;-2.63%;;
10.04.2022;21.099;20.745;21.135;19.985;80.04K;2.48%;;
10.03.2022;20.589;18.995;21.31;20.68;73.44K;10.03%;;
09/29/2022;18.712;18.91;19.3;18.745;53.86K;-0.68%;;
09/28/2022;18.841;18.36;18.915;18.465;59.25K;2.95%;;
